Sample,Sample reference,Lithology,SiO2,Al2O3,Fe2O3t,FeOt,MgO,CaO,Na2O,K2O,TiO2,P2O5,MnO,LOI,Sum,Cr,Ni,Sc,Ba,Be,Co,Cs,Ga,Hf,Nb,Rb,Sn,Sr,Ta,Th,U,V,Zr,Y,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Q,Or,Ab,An,Qnorm,Anorm,Pnorm
PAS 17a,Sakyi et al. 2014,Granite,65.9,14.8,4.32,3.888003888,2.91,3.74,3.72,2.72,0.41,0.15,0.07,1.17,99.91,134,33.6,11.2,1035,1.38,14.6,4.16,16.8,3.45,4.9,82.7,,627,0.51,5.74,1.75,74.7,123,10.5,26.9,50.7,5.66,21.3,3.53,0.93,2.93,0.4,2.02,0.39,1.1,0.17,1.12,0.17,22.345,16.74,31.478,15.651,25.92,19.42,54.67
FC118,Naba 2007,Granite,72.15,15.33,1.78,1.602001602,0.34,1.96,4.6,3.08,0.24,0.09,,0.35,99.92,,,,1105,1.07,2.78,1.64,19.52,4.03,4.26,91,1.34,446,0.34,10.62,1.08,14.5,154,4.45,31.31,55.5,5.75,19.32,2.74,0.69,1.58,0.18,0.84,0.15,0.43,0.07,0.46,0.08,29.161,18.22,38.924,9.136,30.55,19.09,50.36
FC61,Naba 2007,Granite,72.85,15.12,1.3,1.17000117,0.27,1.49,4.14,3.97,0.17,0.07,,0.51,99.89,7.39,,,1204,1.65,2.41,2.28,19.22,3.55,4.62,138,1.32,379,0.39,9.61,1.93,11.68,118,14.17,53.35,49.31,10.26,36.92,5.89,1.29,4.41,0.57,2.86,0.49,1.24,0.17,1.04,0.16,3.185,23.462,35.32,6.935,4.62,34.05,61.33
BOP1A,Lambert-Smith et al. 2016,Granodiorite,60.9,14.4,6.2,5.58000558,3.7,4.1,3.8,3.8,0.8,0.2,0.1,0.6,98.5,206.6,74.4,,696.8,,15.6,12.1,21.5,6.7,13.4,224.4,,317.8,1.3,15.7,4.4,104.8,241.2,20.2,45.7,103.1,11.3,38.8,6.7,1.4,5.4,0.7,3.5,0.7,1.7,0.3,1.5,0.3,12.255,22.457,32.155,11.11,15.72,28.8,55.48
BOP2,Lambert-Smith et al. 2016,Granodiorite,74,14.2,0.8,0.72000072,0.2,0.7,4.1,4.8,0.1,0.1,0,0.4,99.4,20.2,4.1,,301.8,,0,18.4,23.8,2.7,5.6,304.4,,95.9,1.2,8.2,4.1,0.8,59.6,5.3,16.2,35.9,3.8,12.3,2.7,0.4,1.7,0.2,0.8,0.1,0.4,0.1,0.3,,3.273,28.367,34.693,2.82,4.73,41.02,54.25
BOP3,Lambert-Smith et al. 2016,Granodiorite,74.8,13.9,0.6,0.54000054,0.1,0.6,4,5.1,0.1,0,0,0.4,99.5,11.7,4.1,,426,,0,9.1,21,1.9,3.9,232.2,,107.2,1.2,12.7,6,2.8,53.6,9.5,27,54.7,6.1,18.7,3.4,0.6,2.6,0.3,1.6,0.2,0.7,0.1,0.7,0.1,3.588,3.14,33.847,2.977,8.24,7.21,84.55
BMN24,Bonzi et al. 2021,Granodiorite,69.71,15.138,3.079,2.771102771,1.205,2.978,4.197,2.984,0.379,0.14,0.0476,0.65,100.5,134.1597,9.2609,5.52,853.9124,1.2912,6.4772,2.4948,17.6632,3.1134,5.0953,73.313,0.995,606.3634,0.6603,3.7742,0.7897,46.2593,107.0381,10.3602,21.5589,49.7016,5.8075,22.5161,4.114,1.0517,2.8363,0.361,1.9316,0.3532,0.9514,0.1389,0.9274,0.1413,26.146,17.635,35.514,13.653,28.13,18.97,52.9
BB15,Bonzi et al. 2021,Granodiorite,62.65,14.675,5.392,4.852804853,2.971,4.444,3.847,3.334,0.54,0.24,0.0802,1.4,99.57,155.863,25.0344,13.52,790.6573,1.6914,16.6295,1.7107,18.8413,5.0198,5.7739,90.5715,1.1703,610.4927,0.4512,5.4864,0.6507,99.0233,191.0295,16.6953,34.1953,59.9592,8.4455,33.4342,6.3824,1.469,4.7296,0.5941,3.1555,0.5883,1.5028,0.2166,1.3538,0.2068,15.877,19.679,32.578,12.939,19.58,24.27,56.14
BMS34,Bonzi et al. 2021,Trondhjemite,69.56,15.535,2.516,2.264402264,0.886,2.998,5.673,1.131,0.304,0.09,0.0375,0.68,99.41049,39.53,7.9804,6.93,158.4899,1.0458,5.4116,0.8105,21.8826,2.8755,2.0481,35.4683,0.7313,609.117,0.2555,1.9344,0.6948,31.5868,106.8348,8.6427,23.4361,24.8649,5.6457,21.1841,3.8752,1.1499,2.8875,0.343,1.6042,0.2751,0.6643,0.0879,0.5556,0.0832,24.902,6.684,48.003,13.583,26.73,7.17,66.1
BMN42,Bonzi et al. 2021,Trondhjemite,68.39,15.268,3.595,3.235503236,1.556,3.846,4.956,1.17,0.425,0.14,0.0465,0.56,99.95,85.9001,39.5283,7.16,205.0941,0.8718,9.8411,1.2738,19.0807,2.7529,2.5455,34.7894,0.7675,428.9671,0.2618,1.6038,0.3632,55.7631,105.0776,7.7528,16.4023,23.2045,3.8588,15.3834,2.89,0.8623,2.3005,0.3011,1.5141,0.2676,0.6509,0.0902,0.5596,0.0795,25.403,6.914,41.936,15.958,28.16,7.66,64.18
